名次,隊伍名稱,目前總分
1,Brainchild,0.9916666666666667
1,歐肯,0.9916666666666667
1,摸鼠小隊,0.9916666666666667
4,NUSE,0.9915832290362955
5,team1,0.9857142857142857
6,浪費三十分鐘取名字,0.9713981973393835
7,我們的興趣好分散,0.9666666666666667
7,舊產業中央,0.9666666666666667
7,AI yodass,0.9666666666666667
7,LiteralStarT,0.9666666666666667
11,來玩AI,0.9665205593003658
12,AIA7,0.9600000000000001
13,真D難,0.9570317876709828
14,Robust,0.9555555555555556
15,StarRingChild,0.9555555555555555
15,三山科技,0.9555555555555555
17,三九五二,0.9448879209446346
18,Unicode Studio,0.9428571428571428
19,我來識識,0.9333333333333333
20,朋朋與丁滿,0.9166666666666666
21,羅密歐與傅立葉,0.8989172881549302
22,雪山飛狐,0.8982905982905983
23,BlackboxOperator,0.8969474070682966
24,這裡有沒有第五個章魚哥,0.8882304186224528
25,你也想下班對不隊,0.8771032797543956
26,秩序守護者的部下們,0.8761904761904762
27,MTB2021,0.8594871794871796
28,nlp_lab,0.8444444444444446
29,What You See Is What You Get,0.8394606444307786
30,快樂工作之下班train model,0.8388888888888888
31,忠孝東路走6辨,0.8310484935869332
32,大數軟體,0.8142399442849376
33,烜智宏斐毅,0.7941118488842746
34,NTU fintech master,0.7877413841642691
35,SSW,0.7857142857142858
36,Norwegian Wood,0.7555555555555554
37,AS,0.7121212121212122
38,Transformer,0.7061780463714906
39,62159-33,0.7061628599406143
40,AlexHsieh Vs JasonYang,0.6468307795361301
41,上班沒刷卡,0.6444444444444445
42,isayama,0.6222222222222222
43,VIPLAB,0.6021480244852533
44,AGAI賦智行雲科技 工人智慧玩家,0.6
45,展祐浴室拖鞋,0.5989607353765007
46,Kernel Died,0.5814545174456948
47,Fintech101_Transformer,0.5251075293514175
48,志在參加一＿一,0.5
49,花旗掰掰,0.49793103448275855
50,角落畫圈圈,0.4472294578295113
51,路上行走的魚,0.4444444444444445
52,巧克力牛奶好好喝,0.3965182711927285
53,我就文盲,0.3222222222222222
54,農藝碼農,0.3080132592855611
55,HyperUsagi,0.2482592951023467
56,啊我就怕被罵,0.13606559323867787
57,DeepBlueShark,0.08888888888888888
58,三杯波波隊,0.012949640287769784
59,SYZ,0.008334375130224612
60,布布恰恰,0.008333333333333333
60,PlusMinus,0.008333333333333333
60,Big Brother,0.008333333333333333
63,888,0.007235678585159554
64,NCKU Deep Learning,0.007099372482907184
65,尋章摘句,0.003180299767297604
66,QAQ,0.0014954322320235897
67,Handwithjob,0.0
67,Richard Card,0.0
67,LeeTung,0.0
67,像極了AI情,0.0
67,跑得比狗還要快,0.0
67,台北直直撞,0.0
67,玉飯糰戰隊,0.0
67,手跡辨識,0.0
67,海鮮部隊鍋,0.0
67,一閃一閃亮晶晶,0.0
67,這名字我想的,0.0
67,親魏隊,0.0
67,好想吃麥當勞,0.0
67,想不到隊名,0.0
67,阿姆斯特朗旋風大砲,0.0
67,anywheredoorlab,0.0
67,Funny Seals,0.0
67,玉山原本是座山,0.0
67,pui pui,0.0
67,大叔識字,0.0
67,2017LIPc,0.0
67,NTU0,0.0
67,NCKU_Financial_Predictive_Analytics_Lab,0.0
67,Fintech group X,0.0
67,NL,0.0
67,李宅,0.0
67,BigPikachu,0.0
67,不能好好寫字嗎,0.0
67,蜆仔的朋友,0.0
67,玉山工人智慧,0.0
67,Refresher,0.0
67,Edsu,0.0
67,路上遇到組一隊,0.0
67,Hahaha,0.0
67,中國信託商業銀行 ChinaTrust Commercial Bank - 謹慎理財 信用至上,0.0
67,小菜雞,0.0
67,CAE09,0.0
67,BlaBlaBla,0.0
