名次,隊伍名稱,目前總分
1,歐肯,0.9916666666666667
1,Brainchild,0.9916666666666667
1,NUSE,0.9916666666666667
4,team1,0.9857142857142857
5,摸鼠小隊,0.9777777777777779
6,浪費三十分鐘取名字,0.9751309433829838
7,AI yodass,0.9666666666666667
7,舊產業中央,0.9666666666666667
7,AIA7,0.9666666666666667
7,我們的興趣好分散,0.9666666666666667
7,LiteralStarT,0.9666666666666667
12,來玩AI,0.9663739014750711
13,Robust,0.9555555555555556
14,三山科技,0.9555555555555555
14,烜智宏斐毅,0.9555555555555555
16,真D難,0.9454800444100465
17,三九五二,0.944666422219506
18,Unicode Studio,0.9428571428571428
19,我來識識,0.9333333333333333
19,StarRingChild,0.9333333333333333
19,isayama,0.9333333333333333
22,VIPLAB,0.9221386800334168
23,朋朋與丁滿,0.9096927804817024
24,羅密歐與傅立葉,0.8995419244154296
25,BlackboxOperator,0.8913275576691998
26,這裡有沒有第五個章魚哥,0.8875698149987217
27,秩序守護者的部下們,0.8761904761904762
28,你也想下班對不隊,0.875888840781195
29,快樂工作之下班train model,0.8387218045112782
30,What You See Is What You Get,0.8222222222222222
31,忠孝東路走6辨,0.8112230810912825
32,nlp_lab,0.8111111111111112
33,雪山飛狐,0.8031746031746032
34,SSW,0.7703703703703704
35,Norwegian Wood,0.7555555555555554
36,AS,0.7121212121212122
37,大數軟體,0.6692162334161432
38,MTB2021,0.6492063492063491
39,巧克力牛奶好好喝,0.5982456140350877
40,志在參加一＿一,0.5
41,農藝碼農,0.46478782370347216
42,62159-33,0.4474677797050693
43,NTU fintech master,0.4441559538770767
44,路上行走的魚,0.43333333333333335
45,Transformer,0.40014666204807675
46,角落畫圈圈,0.39874581497550793
47,花旗掰掰,0.3946859903381642
48,我就文盲,0.3222222222222222
49,HyperUsagi,0.25555555555555554
50,Kernel Died,0.16602451971556545
51,DeepBlueShark,0.08888888888888888
52,SYZ,0.008338544923910778
53,布布恰恰,0.008334375130224612
54,PlusMinus,0.008333333333333333
54,Big Brother,0.008333333333333333
56,AlexHsieh Vs JasonYang,0.003249830737982397
57,尋章摘句,0.001977112351302266
58,一閃一閃亮晶晶,0.0
58,玉飯糰戰隊,0.0
58,Richard Card,0.0
58,Handwithjob,0.0
58,Fintech group X,0.0
58,LeeTung,0.0
58,像極了AI情,0.0
58,親魏隊,0.0
58,跑得比狗還要快,0.0
58,三杯波波隊,0.0
58,NCKU Deep Learning,0.0
58,888,0.0
58,這名字我想的,0.0
58,小菜雞,0.0
58,好想吃麥當勞,0.0
58,想不到隊名,0.0
58,阿姆斯特朗旋風大砲,0.0
58,anywheredoorlab,0.0
58,Funny Seals,0.0
58,玉山原本是座山,0.0
58,pui pui,0.0
58,上班沒刷卡,0.0
58,大叔識字,0.0
58,2017LIPc,0.0
58,NTU0,0.0
58,NCKU_Financial_Predictive_Analytics_Lab,0.0
58,NL,0.0
58,CAE09,0.0
58,李宅,0.0
58,BigPikachu,0.0
58,不能好好寫字嗎,0.0
58,蜆仔的朋友,0.0
58,玉山工人智慧,0.0
58,QAQ,0.0
58,台北直直撞,0.0
58,啊我就怕被罵,0.0
58,Edsu,0.0
58,路上遇到組一隊,0.0
58,Hahaha,0.0
58,中國信託商業銀行 ChinaTrust Commercial Bank - 謹慎理財 信用至上,0.0
58,展祐浴室拖鞋,0.0
58,Fintech101_Transformer,0.0
58,手跡辨識,0.0
