名次,隊伍名稱,目前總分
1,AI yodass,0.9746816092971923
2,舊產業中央,0.9744379295532938
3,三杯波波隊,0.9733691150689812
4,真D難,0.9692866343842217
5,What You See Is What You Get,0.9689414114157353
6,浪費三十分鐘取名字,0.9681910608926778
7,VIPLAB,0.9666430058529452
8,來玩AI,0.9655935243345015
9,歐肯,0.9654990924398676
10,DeepBlueShark,0.9637054941469277
11,Unicode Studio,0.9585825613340435
12,我們的興趣好分散,0.9553099144100382
13,SSW,0.9514100912973695
14,三九五二,0.9471053823238893
15,Fintech101_Transformer,0.945438394549108
16,展祐浴室拖鞋,0.9453268022667619
17,StarRingChild,0.9443378770829202
18,LeeTung,0.9434448552728849
19,Big Brother,0.9434336316625462
20,摸鼠小隊,0.9408686853175359
21,Robust,0.9388197031962087
22,MLHW16,0.9387160360319527
23,888,0.9346828680015938
24,ownjohn,0.9253355668322738
25,team1,0.9246181872588579
26,三山科技,0.9221568359149004
27,62159-33,0.9196588837106507
28,HyperUsagi,0.918975178665883
29,nlp_lab,0.915429574918731
30,Brainchild,0.9074451066718398
31,上班沒刷卡,0.9065952678978236
32,時空旋渦旅人,0.9059869047647605
33,烜智宏斐毅,0.9058593334069351
34,chewyyummyyams,0.9046640406323204
35,我要成為ML大師,0.9040094741691989
36,不能好好寫字嗎,0.9028725665586721
37,Triceratops,0.9023618860260868
38,Norwegian Wood,0.8986481977299788
39,我就文盲,0.8983760594727427
40,BlackboxOperator,0.8961119050665763
41,AlexHsieh Vs JasonYang,0.8918569737332764
42,爺爺泡的茶,0.8886380032299112
43,MTB2021,0.8834558889597001
44,羅密歐與傅立葉,0.8829518540514973
45,啊我就怕被罵,0.8801341423924804
46,大數軟體,0.8778260409420015
47,路上遇到組一隊,0.8772627151233348
48,LiteralStarT,0.874234153040392
49,玉山工人智慧,0.8715407580117687
50,巧克力牛奶好好喝,0.8691781107739956
51,AS,0.8577802032292124
52,BlaBlaBla,0.8559636371614656
53,AI大鳳梨,0.821305492365321
54,親魏隊,0.8206618450870374
55,路上行走的魚,0.8200732714659186
56,快樂工作之下班train model,0.8138277099481118
57,秩序守護者的部下們,0.8109439545419992
58,雪山飛狐,0.8043898661554708
59,文盲,0.8028808824203914
60,農藝碼農,0.8025118717696734
61,跑得比狗還要快,0.788321702091288
62,朋朋與丁滿,0.7747422013816968
63,isayama,0.7733207017314065
64,角落畫圈圈,0.7672035916771063
65,我來識識,0.7613557766842718
66,志在參加一＿一,0.7389961300663113
67,忠孝東路走6辨,0.7270593232683581
68,這裡有沒有第五個章魚哥,0.72432763164979
69,中國信託商業銀行 ChinaTrust Commercial Bank - 謹慎理財 信用至上,0.7200474835493829
70,李宅,0.7154558096413672
71,Fintech group X,0.6898801155272583
72,AGAI賦智行雲科技 工人智慧玩家,0.6784574365121262
73,像極了AI情,0.6494175019314526
74,NL,0.6231969319989463
75,NTU fintech master,0.6040917861683458
76,你也想下班對不隊,0.6025555925356605
77,花旗掰掰,0.60152275058334
78,BJ4,0.394194408039962
79,NTU0,0.22581339757798008
80,trytry看ㄅ,0.07994453111612168
81,小菜雞,0.04244899638668589
82,NCKU Deep Learning,0.034063733288003314
83,尋章摘句,0.001478280251892616
84,玉山原本是座山,0.00019073499408507212
85,henris,0.00017065873264558671
86,BigPikachu,4.29414538008107e-06
86,蜆仔的朋友,4.29414538008107e-06
88,Refresher,0.0
88,korone,0.0
88,童蒙認字,0.0
88,Matchmaker,0.0
88,高清世平,0.0
88,zh_jay,0.0
88,海鮮部隊鍋,0.0
88,手跡辨識,0.0
88,變形金剛,0.0
88,NDHUISL-ian,0.0
88,這名字我想的,0.0
88,Handwithjob,0.0
88,好想吃麥當勞,0.0
88,想不到隊名,0.0
88,阿姆斯特朗旋風大砲,0.0
88,anywheredoorlab,0.0
88,Funny Seals,0.0
88,pui pui,0.0
88,大叔識字,0.0
88,2017LIPc,0.0
88,NCKU_Financial_Predictive_Analytics_Lab,0.0
88,CAE09,0.0
88,台北直直撞,0.0
88,QAQ,0.0
88,SYZ,0.0
88,Edsu,0.0
88,Hahaha,0.0
88,PlusMinus,0.0
88,布布恰恰,0.0
88,Transformer,0.0
88,玉飯糰戰隊,0.0
88,AIA7,0.0
88,Richard Card,0.0
88,一閃一閃亮晶晶,0.0
88,Kernel Died,0.0
88,Bestline,0.0
