名次,隊伍名稱,目前總分
1,歐肯,0.9681040742117589
2,浪費三十分鐘取名字,0.96760679080082
3,三杯波波隊,0.9673272242319597
4,AI yodass,0.965471108409652
5,Unicode Studio,0.9605339670682573
6,舊產業中央,0.9570073909074014
7,AIA7,0.9506675939964101
8,來玩AI,0.9493919263043943
9,真D難,0.9480581423644544
10,What You See Is What You Get,0.9447539691079672
11,SSW,0.9447417286576115
12,Big Brother,0.943911296244363
13,Fintech101_Transformer,0.9429321430496281
14,我們的興趣好分散,0.9418800430887325
15,展祐浴室拖鞋,0.9391459682029976
16,三九五二,0.937199461209478
17,VIPLAB,0.9328423058121031
18,888,0.9317173104296145
19,上班沒刷卡,0.9312973493706737
20,LeeTung,0.9293031924647231
21,MLHW16,0.9292261883664734
22,Robust,0.9292017845956522
23,三山科技,0.9175540401877159
24,StarRingChild,0.9165819911146068
25,nlp_lab,0.9137827588197542
26,HyperUsagi,0.9136407386501004
27,ownjohn,0.9136368344031567
28,62159-33,0.9113454384341787
29,chewyyummyyams,0.9055029612609062
30,Brainchild,0.9033964127285664
31,時空旋渦旅人,0.903114545611126
32,DeepBlueShark,0.8982800797016531
33,Norwegian Wood,0.897753370713925
34,MTB2021,0.8937060499836129
35,大數軟體,0.884036066205759
36,LiteralStarT,0.8837115321433605
37,BlackboxOperator,0.8826717987578183
38,啊我就怕被罵,0.8812049794712121
39,Triceratops,0.8743304306156632
40,NTU fintech master,0.8713539340507587
41,BlaBlaBla,0.865902475142854
42,AS,0.859890136759279
43,羅密歐與傅立葉,0.845881877522577
44,爺爺泡的茶,0.8375760279496846
45,角落畫圈圈,0.8262301471822897
46,zh_jay,0.8261378857500253
47,快樂工作之下班train model,0.8248486565192864
48,路上行走的魚,0.8198886428328825
49,isayama,0.8167104390477475
50,雪山飛狐,0.8161064857627401
51,秩序守護者的部下們,0.8118552520912977
52,像極了AI情,0.8007088278678846
53,朋朋與丁滿,0.7832464813013243
54,巧克力牛奶好好喝,0.7820076774915108
55,親魏隊,0.7699519232746576
56,跑得比狗還要快,0.7679596077238858
57,烜智宏斐毅,0.7453531719620191
58,志在參加一＿一,0.7387405846506718
59,這裡有沒有第五個章魚哥,0.7379604653081758
60,我來識識,0.730137439503255
61,路上遇到組一隊,0.7300968306643134
62,李宅,0.7169509069669247
63,AI大鳳梨,0.703556709378234
64,農藝碼農,0.6994490736607188
65,忠孝東路走6辨,0.6959905848254062
66,Fintech group X,0.6720124345210706
67,摸鼠小隊,0.6191901005440342
68,不能好好寫字嗎,0.6181744598963317
69,你也想下班對不隊,0.6129745018310145
70,AGAI賦智行雲科技 工人智慧玩家,0.6069461799248105
71,team1,0.6051869718905799
72,我要成為ML大師,0.5981031394096331
73,AlexHsieh Vs JasonYang,0.556461845658572
74,花旗掰掰,0.5459521697530946
75,NL,0.5379235974554878
76,Richard Card,0.5122088719719678
77,我就文盲,0.4823163597536576
78,中國信託商業銀行 ChinaTrust Commercial Bank - 謹慎理財 信用至上,0.4403382808077492
79,文盲,0.4083521517791913
80,BJ4,0.25842095154850164
81,NCKU Deep Learning,0.03713630104245506
82,高清世平,0.02063214368384709
83,korone,0.0021674842612374305
84,尋章摘句,0.0007712431066555194
85,玉山工人智慧,0.0007343761474627304
86,玉山原本是座山,0.00023200435053675805
87,小菜雞,0.0001652530636718443
88,NCKU_Financial_Predictive_Analytics_Lab,9.455976731890665e-06
89,trytry看ㄅ,3.5618814570232287e-06
89,BigPikachu,3.5618814570232287e-06
89,蜆仔的朋友,3.5618814570232287e-06
89,阿姆斯特朗旋風大砲,3.5618814570232287e-06
93,NTU0,3.0299477000727498e-06
94,童蒙認字,0.0
94,變形金剛,0.0
94,2017LIPc,0.0
94,pui pui,0.0
94,Funny Seals,0.0
94,anywheredoorlab,0.0
94,想不到隊名,0.0
94,Matchmaker,0.0
94,好想吃麥當勞,0.0
94,henris,0.0
94,大叔識字,0.0
94,NDHUISL-ian,0.0
94,Transformer,0.0
94,CAE09,0.0
94,Refresher,0.0
94,海鮮部隊鍋,0.0
94,手跡辨識,0.0
94,台北直直撞,0.0
94,QAQ,0.0
94,Handwithjob,0.0
94,Kernel Died,0.0
94,一閃一閃亮晶晶,0.0
94,SYZ,0.0
94,Edsu,0.0
94,Hahaha,0.0
94,PlusMinus,0.0
94,布布恰恰,0.0
94,玉飯糰戰隊,0.0
94,這名字我想的,0.0
