名次,隊伍名稱,目前總分
1,歐肯,0.9671068461218638
2,浪費三十分鐘取名字,0.9652884138522545
3,AI yodass,0.9626153174677499
4,三杯波波隊,0.9609182313247666
5,Unicode Studio,0.9582877335336666
6,AIA7,0.9504607490556881
7,舊產業中央,0.948116060056839
8,真D難,0.9467016445376565
9,來玩AI,0.9458090526537231
10,What You See Is What You Get,0.9418560825500083
11,Fintech101_Transformer,0.9404536646615526
12,SSW,0.9393836456690281
13,Big Brother,0.9387786616626722
14,我們的興趣好分散,0.937436378445677
15,展祐浴室拖鞋,0.9368468420155531
16,Robust,0.9324150321783214
17,888,0.9313998983550685
18,LeeTung,0.9279947453582535
19,三九五二,0.9251553463168082
20,上班沒刷卡,0.924994819553163
21,MLHW16,0.9249735212856862
22,HyperUsagi,0.9160771352881337
23,VIPLAB,0.9151109195125287
24,三山科技,0.9148624272142086
25,nlp_lab,0.9116188394892185
26,ownjohn,0.9109338556513313
27,StarRingChild,0.9108234137559953
28,62159-33,0.9064218503736012
29,chewyyummyyams,0.9035556464462722
30,時空旋渦旅人,0.8992182643367923
31,Norwegian Wood,0.8959525171423866
32,Brainchild,0.894486544200271
33,大數軟體,0.8894269812834271
34,MTB2021,0.8891954647247653
35,BlackboxOperator,0.8820223280922339
36,羅密歐與傅立葉,0.8817551933590542
37,LiteralStarT,0.8804734320778524
38,NTU fintech master,0.8666380048009532
39,DeepBlueShark,0.8658961910989997
40,AS,0.8599970262987688
41,BlaBlaBla,0.8544756164231557
42,啊我就怕被罵,0.8482221869790573
43,Triceratops,0.847847532378226
44,爺爺泡的茶,0.8317205876621888
45,zh_jay,0.8270733107596644
46,路上行走的魚,0.8182382070284016
47,快樂工作之下班train model,0.8153798926586547
48,雪山飛狐,0.8134884515611444
49,秩序守護者的部下們,0.80616624868982
50,角落畫圈圈,0.8031733153999806
51,像極了AI情,0.8009472260141937
52,朋朋與丁滿,0.7824799392993447
53,農藝碼農,0.7592736572357134
54,AI大鳳梨,0.7545097031899962
55,isayama,0.7437547599925839
56,親魏隊,0.7432147905557563
57,這裡有沒有第五個章魚哥,0.7371869252447674
58,志在參加一＿一,0.7360053774247873
59,我來識識,0.7320504845349037
60,跑得比狗還要快,0.731716457791913
61,李宅,0.7185933998705397
62,Fintech group X,0.6827973767472383
63,忠孝東路走6辨,0.6783386770737007
64,巧克力牛奶好好喝,0.6609107315136753
65,你也想下班對不隊,0.6037662584364781
66,AGAI賦智行雲科技 工人智慧玩家,0.599179361334766
67,路上遇到組一隊,0.5388750789200061
68,烜智宏斐毅,0.5355072130167539
69,Richard Card,0.508833541350005
70,花旗掰掰,0.4417476471530604
71,NL,0.4006053068254963
72,文盲,0.32513218934785804
73,不能好好寫字嗎,0.25278762066929766
74,中國信託商業銀行 ChinaTrust Commercial Bank - 謹慎理財 信用至上,0.12146214355773242
75,AlexHsieh Vs JasonYang,0.12077936680816116
76,高清世平,0.020252884802652252
77,摸鼠小隊,0.009199715615581002
78,korone,0.001874003189792663
79,我要成為ML大師,0.0009920634920634922
80,尋章摘句,0.0009641295254031032
81,玉山工人智慧,0.0006818181818181818
82,玉山原本是座山,0.00033826001681143175
83,小菜雞,0.000167910447761194
84,NCKU_Financial_Predictive_Analytics_Lab,1.4607033032403265e-05
85,BigPikachu,3.922407645129083e-06
85,蜆仔的朋友,3.922407645129083e-06
85,trytry看ㄅ,3.922407645129083e-06
85,阿姆斯特朗旋風大砲,3.922407645129083e-06
89,NTU0,3.269194844012703e-06
90,anywheredoorlab,0.0
90,我就文盲,0.0
90,Funny Seals,0.0
90,Matchmaker,0.0
90,大叔識字,0.0
90,好想吃麥當勞,0.0
90,變形金剛,0.0
90,henris,0.0
90,童蒙認字,0.0
90,BJ4,0.0
90,2017LIPc,0.0
90,NDHUISL-ian,0.0
90,想不到隊名,0.0
90,pui pui,0.0
90,NCKU Deep Learning,0.0
90,Refresher,0.0
90,team1,0.0
90,Transformer,0.0
90,布布恰恰,0.0
90,PlusMinus,0.0
90,Hahaha,0.0
90,Edsu,0.0
90,SYZ,0.0
90,Kernel Died,0.0
90,QAQ,0.0
90,一閃一閃亮晶晶,0.0
90,Handwithjob,0.0
90,台北直直撞,0.0
90,手跡辨識,0.0
90,CAE09,0.0
90,海鮮部隊鍋,0.0
90,玉飯糰戰隊,0.0
90,這名字我想的,0.0
